"66,178,76,57,55,71,47,68,34,178,29,20,44,40,30,8,38,62,42,60,49,60,65,60,96,59,151,60,228,60,206,60,75,60,56,60,49,59,
""30,53,48,67,62,65,110,89,236,113,109,143,59,177,40,177,54,13,44,59,48,60,59,60,94,60,195,60,230,59,212,59,80,59,58,60,47,60,
""44,57,56,73,61,79,86,126,239,142,112,113,63,85,43,178,42,71,53,45,52,59,59,49,83,56,156,59,231,48,229,43,98,35,62,10,55,60,
""40,49,55,57,58,72,80,101,235,97,132,102,64,178,45,178,44,5,56,5,53,64,59,80,95,60,193,60,228,59,207,59,80,5,54,115,45,60,
""55,57,52,78,64,132,202,130,234,143,86,129,57,59,42,177,44,17,56,36,49,62,55,4,91,60,189,59,230,59,227,59,100,59,58,60,48,60,
""42,53,53,69,58,83,83,153,237,102,116,102,63,111,45,178,43,35,57,5,45,17,54,60,84,60,177,60,233,59,214,59,79,59,60,60,51,60,
""34,53,56,52,59,87,84,128,238,104,130,90,68,178,44,178,43,5,52,43,51,66,59,3,82,60,171,60,231,60,211,59,79,60,57,59,51,60,
""49,57,53,67,66,60,215,93,242,89,101,116,65,5,44,178,42,32,53,56,52,62,59,52,94,20,167,44,238,59,226,38,164,47,62,52,53,29,
""45,68,55,75,60,68,84,95,237,88,122,88,65,162,43,178,44,5,54,47,50,5,61,61,91,60,194,60,233,59,229,59,80,60,60,60,50,60,
""44,61,51,65,65,89,234,93,237,89,100,85,63,178,43,178,42,42,47,44,52,77,63,59,99,59,189,60,230,60,196,59,79,59,61,60,52,60,
""50,47,50,76,63,101,236,91,233,100,96,112,60,178,42,61,40,60,45,59,50,60,61,60,101,60,206,59,231,59,223,59,79,60,57,60,50,60,
""38,88,58,62,62,78,86,95,237,117,118,113,63,121,45,178,44,80,57,48,54,44,57,56,87,49,167,54,233,59,220,31,84,3,61,18,51,94,
""54,79,52,83,67,100,203,90,239,118,90,97,58,140,43,57,42,59,45,45,51,74,62,60,99,60,203,59,232,59,217,60,77,60,56,59,48,59,
""56,42,52,95,66,73,236,90,236,89,99,89,62,177,39,178,40,5,44,48,49,60,59,60,94,60,192,59,231,59,225,59,106,60,58,60,48,60,
""45,63,51,50,63,100,235,105,238,90,99,127,61,178,40,71,40,59,44,59,49,60,58,60,96,60,195,60,232,60,205,59,78,60,55,60,53,60,
"
