",120,67,139,59,173,67,112,54,78,68,55,67,37,68,38,67,39,48,42,61,47,68,59,67,82,47,135,35,103,46,103,47,159,58,79,57,65,47,
""55,67,60,63,67,55,239,67,105,66,108,67,61,67,42,68,40,67,42,61,51,53,56,33,76,13,133,5,111,60,112,46,251,44,77,41,70,44,
""53,67,61,61,68,67,245,66,108,68,108,67,61,56,43,68,39,54,55,62,49,54,53,50,78,53,130,63,109,59,114,49,209,47,87,48,68,5,
""64,57,61,66,68,67,229,69,103,62,98,68,60,60,39,70,47,57,53,57,48,62,55,61,75,61,128,46,107,5,112,30,245,60,79,60,64,60,
""58,66,61,67,70,67,209,67,98,67,92,67,57,15,38,69,38,48,42,19,44,66,57,66,75,33,130,17,89,46,94,63,242,21,69,10,67,63,
""64,65,62,63,67,59,224,79,94,78,107,71,60,178,39,177,39,5,40,31,48,54,59,65,93,66,99,65,93,64,94,60,232,60,65,60,62,60,
""57,64,61,63,69,59,194,64,101,64,91,66,56,52,39,66,39,51,42,42,48,67,56,67,86,64,162,59,122,59,89,60,104,59,68,60,66,60,
""57,66,60,66,69,68,101,69,227,68,92,68,57,9,40,185,40,73,53,58,51,56,56,61,74,52,119,46,230,49,93,45,252,42,85,47,68,5,
""51,68,60,69,68,54,204,68,124,60,91,86,56,20,37,178,38,70,52,62,51,56,57,69,74,67,134,54,122,66,106,51,250,56,87,55,68,46,
""52,60,60,67,67,80,116,69,104,67,107,67,60,67,38,68,37,23,54,70,48,59,58,57,73,65,135,61,119,11,103,56,187,46,170,54,148,49,
""138,67,141,61,149,59,185,68,187,68,187,59,140,68,121,67,120,39,127,66,127,51,139,60,162,72,204,64,188,59,188,8,331,61,164,52,149,42,
""140,46,139,61,149,58,311,67,184,67,175,67,138,5,122,67,131,50,123,59,125,39,138,71,169,69,264,60,183,59,181,59,323,60,158,59,143,60,
""138,51,139,68,148,66,329,60,184,68,185,70,140,95,121,90,120,70,123,69,128,53,137,60,159,60,180,60,183,60,203,59,198,59,146,60,139,60,
""138,36,140,66,148,65,255,67,185,56,178,67,138,68,121,67,121,66,124,57,125,33,135,48,155,63,199,65,181,66,186,54,329,66,157,59,144,68,
"
