"54,49,56,94,67,68,234,86,94,93,93,132,55,179,34,101,34,59,39,59,45,60,53,60,79,60,118,60,102,59,124,59,131,60,62,60,54,59,
""54,49,56,94,67,68,234,86,94,93,93,132,55,179,34,101,34,59,39,59,45,60,53,60,79,60,118,60,102,59,124,59,131,60,62,60,54,59,
""103,65,118,44,96,65,129,67,61,65,48,66,33,66,34,57,37,46,39,50,45,40,56,41,78,47,112,43,97,49,95,49,247,7,81,6,59,53,
""52,43,56,60,65,92,247,67,99,66,103,65,56,57,42,66,39,51,43,59,48,26,52,94,81,60,94,59,94,60,102,60,111,59,62,60,57,60,
""54,50,55,54,65,67,209,66,98,92,92,68,53,36,39,67,38,50,42,59,45,60,53,60,77,60,92,60,94,60,141,60,110,59,61,60,53,60,
""53,45,54,58,65,68,208,66,97,67,91,67,53,68,35,67,34,62,38,11,44,69,51,68,76,68,140,69,101,68,106,65,240,60,59,60,51,60,
""53,45,55,67,65,68,208,68,96,79,90,78,51,9,38,179,38,52,52,53,49,52,50,59,70,46,128,5,94,29,102,60,108,60,59,60,50,59,
""53,66,55,49,65,68,202,68,115,69,92,68,53,63,35,179,34,58,49,70,47,46,51,64,72,55,132,58,125,51,154,66,244,53,76,39,59,42,
""51,93,55,68,64,75,245,64,235,125,97,93,54,142,37,178,35,40,49,60,49,59,53,44,76,41,131,6,234,47,227,60,79,60,61,59,56,59,
""56,55,56,75,67,96,202,99,223,110,78,91,51,180,35,80,34,60,39,45,47,74,55,60,83,60,153,59,235,60,227,60,190,60,60,60,51,60,
""69,42,57,56,66,79,202,102,224,137,78,107,53,180,35,179,48,94,49,51,48,52,51,61,77,42,151,34,239,47,234,58,202,46,73,5,58,51,
""52,44,58,63,67,88,116,109,237,96,110,102,57,171,39,179,38,32,53,41,47,66,56,51,74,33,115,12,228,60,222,60,138,60,62,60,54,60,
""55,69,57,64,65,86,246,135,236,96,97,94,56,110,38,179,37,42,54,48,48,42,53,45,70,8,115,52,237,60,230,60,119,59,64,60,53,60,
""73,81,58,66,68,91,204,179,222,133,77,78,55,80,37,179,37,51,52,58,52,53,54,59,79,40,119,5,214,28,230,60,121,59,64,60,60,60,
"
